theta,q3_over_t,dq3
0.45,-1.917754,0.42189901
0.45379483,-1.88551,0.42501336
0.45758966,-1.8539693,0.42811768
0.46138449,-1.823112,0.43121193
0.46517932,-1.7929189,0.43429608
0.46897415,-1.7633714,0.43737007
0.47276897,-1.7344517,0.44043388
0.4765638,-1.7061425,0.44348746
0.48035863,-1.6784271,0.44653078
0.48415346,-1.6512894,0.44956381
0.48794829,-1.6247139,0.4525865
0.49174312,-1.5986855,0.45559883
0.49553795,-1.5731898,0.45860076
0.49933278,-1.5482127,0.46159226
0.50312761,-1.5237405,0.4645733
0.50692244,-1.4997603,0.46754384
0.51071726,-1.4762593,0.47050387
0.51451209,-1.4532251,0.47345334
0.51830692,-1.430646,0.47639223
0.52210175,-1.4085104,0.47932052
0.52589658,-1.3868072,0.48223817
0.52969141,-1.3655255,0.48514517
0.53348624,-1.3446549,0.48804148
0.53728107,-1.3241853,0.49092708
0.5410759,-1.3041068,0.49380195
0.54487073,-1.28441,0.49666606
0.54866555,-1.2650855,0.4995194
0.55246038,-1.2461245,0.50236195
0.55625521,-1.2275182,0.50519367
0.56005004,-1.2092583,0.50801456
0.56384487,-1.1913366,0.51082459
0.5676397,-1.173745,0.51362375
0.57143453,-1.156476,0.51641202
0.57522936,-1.1395221,0.51918939
0.57902419,-1.1228759,0.52195583
0.58281902,-1.1065305,0.52471133
0.58661384,-1.090479,0.52745588
0.59040867,-1.0747147,0.53018947
0.5942035,-1.0592311,0.53291207
0.59799833,-1.044022,0.53562369
0.60179316,-1.0290813,0.53832431
0.60558799,-1.014403,0.54101392
0.60938282,-0.99998133,0.5436925
0.61317765,-0.98581068,0.54636006
0.61697248,-0.97188557,0.54901658
0.62076731,-0.95820068,0.55166205
0.62456214,-0.94475084,0.55429646
0.62835696,-0.93153101,0.55691982
0.63215179,-0.91853628,0.55953211
0.63594662,-0.90576188,0.56213334
0.63974145,-0.89320314,0.56472348
0.64353628,-0.88085556,0.56730256
0.64733111,-0.86871471,0.56987055
0.65112594,-0.8567763,0.57242745
0.65492077,-0.84503614,0.57497328
0.6587156,-0.83349015,0.57750801
0.66251043,-0.82213436,0.58003166
0.66630525,-0.81096488,0.58254423
0.67010008,-0.79997795,0.58504571
0.67389491,-0.78916988,0.58753611
0.67768974,-0.77853707,0.59001543
0.68148457,-0.76807603,0.59248367
0.6852794,-0.75778333,0.59494084
0.68907423,-0.74765564,0.59738694
0.69286906,-0.73768972,0.59982197
0.69666389,-0.72788239,0.60224594
0.70045872,-0.71823055,0.60465886
0.70425354,-0.70873117,0.60706073
0.70804837,-0.69938132,0.60945156
0.7118432,-0.69017811,0.61183136
0.71563803,-0.68111873,0.61420013
0.71943286,-0.67220042,0.61655788
0.72322769,-0.66342052,0.61890463
0.72702252,-0.6547764,0.62124038
0.73081735,-0.64626551,0.62356514
0.73461218,-0.63788534,0.62587893
0.73840701,-0.62963345,0.62818175
0.74220183,-0.62150745,0.63047362
0.74599666,-0.61350502,0.63275454
0.74979149,-0.60562388,0.63502454
0.75358632,-0.59786179,0.63728363
0.75738115,-0.59021658,0.63953182
0.76117598,-0.58268611,0.64176912
0.76497081,-0.57526832,0.64399554
0.76876564,-0.56796116,0.64621112
0.77256047,-0.56076263,0.64841585
0.7763553,-0.5536708,0.65060976
0.78015013,-0.54668376,0.65279287
0.78394495,-0.53979964,0.65496518
0.78773978,-0.53301662,0.65712672
0.79153461,-0.52633292,0.65927751
0.79532944,-0.51974678,0.66141757
0.79912427,-0.51325651,0.6635469
0.8029191,-0.50686043,0.66566555
0.80671393,-0.50055689,0.66777351
0.81050876,-0.49434431,0.66987082
0.81430359,-0.4882211,0.67195749
0.81809842,-0.48218574,0.67403355
0.82189324,-0.47623672,0.67609901
0.82568807,-0.47037256,0.67815391
0.8294829,-0.46459183,0.68019825
0.83327773,-0.4588931,0.68223207
0.83707256,-0.453275,0.68425538
0.84086739,-0.44773617,0.68626822
0.84466222,-0.44227528,0.68827059
0.84845705,-0.43689102,0.69026254
0.85225188,-0.43158213,0.69224407
0.85604671,-0.42634735,0.69421522
0.85984153,-0.42118546,0.69617602
0.86363636,-0.41609525,0.69812648
0.86743119,-0.41107555,0.70006663
0.87122602,-0.40612521,0.70199651
0.87502085,-0.40124309,0.70391612
0.87881568,-0.39642809,0.70582551
0.88261051,-0.39167911,0.7077247
0.88640534,-0.3869951,0.70961372
0.89020017,-0.382375,0.71149258
0.893995,-0.37781778,0.71336133
0.89778982,-0.37332245,0.71521999
0.90158465,-0.36888802,0.71706859
0.90537948,-0.36451352,0.71890715
0.90917431,-0.36019799,0.72073571
0.91296914,-0.35594052,0.7225543
0.91676397,-0.35174017,0.72436294
0.9205588,-0.34759607,0.72616166
0.92435363,-0.34350731,0.7279505
0.92814846,-0.33947305,0.72972948
0.93194329,-0.33549244,0.73149863
0.93573812,-0.33156464,0.73325799
0.93953294,-0.32768883,0.73500759
0.94332777,-0.32386422,0.73674746
