a0,gamma0,R,chi
0.1,1,2.3607522e-10,4.8526203e-07
0.10192264,1,2.4524025e-10,4.9459188e-07
0.10388225,1,2.5476109e-10,5.0410112e-07
0.10587954,1,2.6465156e-10,5.1379318e-07
0.10791522,1,2.74926e-10,5.2367159e-07
0.10999005,1,2.8559932e-10,5.3373993e-07
0.11210476,1,2.96687e-10,5.4400184e-07
0.11426014,1,3.0820514e-10,5.5446105e-07
0.11645695,1,3.2017043e-10,5.6512136e-07
0.118696,1,3.3260025e-10,5.7598662e-07
0.1209781,1,3.4551263e-10,5.8706079e-07
0.12330408,1,3.589263e-10,5.9834787e-07
0.12567478,1,3.7286072e-10,6.0985197e-07
0.12809105,1,3.8733611e-10,6.2157724e-07
0.13055379,1,4.0237348e-10,6.3352795e-07
0.13306387,1,4.1799463e-10,6.4570843e-07
0.13562221,1,4.3422223e-10,6.581231e-07
0.13822974,1,4.5107983e-10,6.7077646e-07
0.14088741,1,4.6859188e-10,6.8367309e-07
0.14359617,1,4.8678379e-10,6.9681769e-07
0.14635701,1,5.0568196e-10,7.10215e-07
0.14917093,1,5.2531381e-10,7.238699e-07
0.15203896,1,5.4570781e-10,7.3778733e-07
0.15496213,1,5.6689356e-10,7.5197235e-07
0.15794149,1,5.889018e-10,7.6643009e-07
0.16097814,1,6.1176444e-10,7.8116581e-07
0.16407318,1,6.3551468e-10,7.9618484e-07
0.16722772,1,6.6018695e-10,8.1149263e-07
0.17044291,1,6.8581707e-10,8.2709473e-07
0.17371992,1,7.1244221e-10,8.4299681e-07
0.17705994,1,7.4010101e-10,8.5920463e-07
0.18046417,1,7.6883359e-10,8.7572407e-07
0.18393385,1,7.9868165e-10,8.9256111e-07
0.18747024,1,8.2968848e-10,9.0972188e-07
0.19107462,1,8.6189907e-10,9.2721258e-07
0.1947483,1,8.9536016e-10,9.4503957e-07
0.19849262,1,9.3012029e-10,9.632093e-07
0.20230892,1,9.662299e-10,9.8172838e-07
0.2061986,1,1.0037414e-09,1.0006035e-06
0.21016306,1,1.0427091e-09,1.0198415e-06
0.21420375,1,1.0831897e-09,1.0394495e-06
0.21832212,1,1.1252419e-09,1.0594344e-06
0.22251968,1,1.1689266e-09,1.0798035e-06
0.22679794,1,1.2143073e-09,1.1005643e-06
0.23115845,1,1.2614497e-09,1.1217242e-06
0.2356028,1,1.3104224e-09,1.1432909e-06
0.2401326,1,1.3612963e-09,1.1652723e-06
0.2447495,1,1.4141452e-09,1.1876764e-06
0.24945515,1,1.4690459e-09,1.2105111e-06
0.25425129,1,1.5260779e-09,1.2337849e-06
0.25913963,1,1.5853241e-09,1.2575062e-06
0.26412196,1,1.6468704e-09,1.2816836e-06
0.26920008,1,1.710806e-09,1.3063258e-06
0.27437584,1,1.7772238e-09,1.3314418e-06
0.27965111,1,1.8462201e-09,1.3570406e-06
0.2850278,1,1.917895e-09,1.3831317e-06
0.29050787,1,1.9923525e-09,1.4097244e-06
0.29609329,1,2.0697007e-09,1.4368283e-06
0.30178611,1,2.1500517e-09,1.4644534e-06
0.30758838,1,2.2335221e-09,1.4926096e-06
0.31350221,1,2.320233e-09,1.5213072e-06
0.31952973,1,2.4103103e-09,1.5505565e-06
0.32567315,1,2.5038846e-09,1.5803681e-06
0.33193468,1,2.6010917e-09,1.610753e-06
0.3383166,1,2.7020726e-09,1.641722e-06
0.34482122,1,2.8069739e-09,1.6732864e-06
0.3514509,1,2.9159476e-09,1.7054578e-06
0.35820805,1,3.0291521e-09,1.7382476e-06
0.36509511,1,3.1467513e-09,1.7716679e-06
0.37211458,1,3.2689161e-09,1.8057308e-06
0.37926902,1,3.3958237e-09,1.8404485e-06
0.38656101,1,3.5276581e-09,1.8758338e-06
0.3939932,1,3.6646107e-09,1.9118994e-06
0.40156828,1,3.8068801e-09,1.9486584e-06
0.409289,1,3.9546727e-09,1.9861241e-06
0.41715817,1,4.1082031e-09,2.0243102e-06
0.42517863,1,4.2676938e-09,2.0632304e-06
0.4333533,1,4.4333764e-09,2.102899e-06
0.44168513,1,4.6054912e-09,2.1433302e-06
0.45017716,1,4.784288e-09,2.1845388e-06
0.45883246,1,4.9700261e-09,2.2265397e-06
0.46765417,1,5.162975e-09,2.2693481e-06
0.47664549,1,5.3634147e-09,2.3129796e-06
