z_over_lambda,I_over_Imax
-15,1.234098e-05
-14.962453,1.2967361e-05
-14.924906,1.3624122e-05
-14.887359,1.4312661e-05
-14.849812,1.5034439e-05
-14.812265,1.579098e-05
-14.774718,1.6583871e-05
-14.737171,1.7414772e-05
-14.699625,1.8285409e-05
-14.662078,1.9197586e-05
-14.624531,2.0153181e-05
-14.586984,2.1154155e-05
-14.549437,2.2202549e-05
-14.51189,2.3300492e-05
-14.474343,2.4450203e-05
-14.436796,2.5653992e-05
-14.399249,2.691427e-05
-14.361702,2.8233544e-05
-14.324155,2.9614429e-05
-14.286608,3.1059647e-05
-14.249061,3.2572033e-05
-14.211514,3.4154538e-05
-14.173967,3.5810238e-05
-14.136421,3.7542331e-05
-14.098874,3.9354148e-05
-14.061327,4.1249155e-05
-14.02378,4.3230961e-05
-13.986233,4.5303319e-05
-13.948686,4.7470135e-05
-13.911139,4.9735471e-05
-13.873592,5.2103553e-05
-13.836045,5.4578778e-05
-13.798498,5.7165715e-05
-13.760951,5.9869118e-05
-13.723404,6.2693928e-05
-13.685857,6.5645281e-05
-13.64831,6.8728517e-05
-13.610763,7.1949185e-05
-13.573217,7.5313051e-05
-13.53567,7.8826107e-05
-13.498123,8.2494578e-05
-13.460576,8.632493e-05
-13.423029,9.0323879e-05
-13.385482,9.4498401e-05
-13.347935,9.885574e-05
-13.310388,0.00010340342
-13.272841,0.00010814924
-13.235294,0.00011310131
-13.197747,0.00011826804
-13.1602,0.00012365816
-13.122653,0.00012928074
-13.085106,0.00013514516
-13.047559,0.00014126119
-13.010013,0.00014763894
-12.972466,0.00015428889
-12.934919,0.00016122193
-12.897372,0.00016844934
-12.859825,0.00017598281
-12.822278,0.00018383448
-12.784731,0.00019201689
-12.747184,0.0002005431
-12.709637,0.00020942658
-12.67209,0.00021868133
-12.634543,0.00022832184
-12.596996,0.00023836312
-12.559449,0.00024882071
-12.521902,0.00025971073
-12.484355,0.00027104984
-12.446809,0.00028285531
-12.409262,0.00029514501
-12.371715,0.00030793745
-12.334168,0.00032125178
-12.296621,0.00033510781
-12.259074,0.00034952606
-12.221527,0.00036452774
-12.18398,0.0003801348
-12.146433,0.00039636995
-12.108886,0.00041325668
-12.071339,0.00043081926
-12.033792,0.00044908281
-11.996245,0.00046807329
-11.958698,0.00048781753
-11.921151,0.00050834329
-11.883605,0.00052967923
-11.846058,0.00055185497
-11.808511,0.00057490112
-11.770964,0.00059884932
-11.733417,0.00062373222
-11.69587,0.00064958357
-11.658323,0.00067643821
-11.620776,0.00070433213
-11.583229,0.00073330247
-11.545682,0.00076338758
-11.508135,0.00079462705
-11.470588,0.00082706174
-11.433041,0.00086073379
-11.395494,0.00089568672
-11.357947,0.00093196541
-11.320401,0.00096961615
-11.282854,0.0010086867
-11.245307,0.0010492263
-11.20776,0.0010912857
-11.170213,0.0011349173
-11.132666,0.0011801751
-11.095119,0.0012271147
-11.057572,0.0012757934
-11.020025,0.0013262703
-10.982478,0.0013786064
-10.944931,0.0014328643
-10.907384,0.0014891087
-10.869837,0.0015474061
-10.83229,0.0016078251
-10.794743,0.0016704362
-10.757196,0.0017353121
-10.71965,0.0018025277
-10.682103,0.0018721598
-10.644556,0.0019442878
-10.607009,0.0020189932
-10.569462,0.00209636
-10.531915,0.0021764744
-10.494368,0.0022594252
-10.456821,0.0023453038
-10.419274,0.0024342041
-10.381727,0.0025262227
-10.34418,0.0026214588
-10.306633,0.0027200145
-10.269086,0.0028219948
-10.231539,0.0029275074
-10.193992,0.0030366631
-10.156446,0.0031495758
-10.118899,0.0032663623
-10.081352,0.0033871428
-10.043805,0.0035120406
-10.006258,0.0036411825
-9.9687109,0.0037746983
-9.931164,0.0039127216
-9.893617,0.0040553896
-9.8560701,0.0042028427
-9.8185232,0.0043552254
-9.7809762,0.0045126857
-9.7434293,0.0046753755
-9.7058824,0.0048434507
-9.6683354,0.0050170711
-9.6307885,0.0051964005
-9.5932416,0.005381607
-9.5556946,0.0055728629
-9.5181477,0.0057703447
-9.4806008,0.0059742334
-9.4430538,0.0061847145
-9.4055069,0.0064019779
-9.3679599,0.0066262183
-9.330413,0.0068576352
-9.2928661,0.0070964326
-9.2553191,0.0073428198
-9.2177722,0.0075970107
-9.1802253,0.0078592246
-9.1426783,0.0081296858
-9.1051314,0.0084086239
-9.0675845,0.0086962737
-9.0300375,0.0089928756
-8.9924906,0.0092986755
-8.9549437,0.0096139248
-8.9173967,0.0099388807
-8.8798498,0.010273806
-8.8423029,0.01061897
-8.8047559,0.010974647
-8.767209,0.011341117
-8.7296621,0.011718669
-8.6921151,0.012107594
-8.6545682,0.012508193
-8.6170213,0.012920771
-8.5794743,0.013345641
-8.5419274,0.013783121
-8.5043805,0.014233538
-8.4668335,0.014697223
-8.4292866,0.015174515
-8.3917397,0.015665762
-8.3541927,0.016171315
-8.3166458,0.016691535
-8.2790989,0.017226788
-8.2415519,0.017777451
-8.204005,0.018343904
-8.1664581,0.018926536
-8.1289111,0.019525745
-8.0913642,0.020141933
-8.0538173,0.020775514
-8.0162703,0.021426906
-7.9787234,0.022096537
-7.9411765,0.02278484
-7.9036295,0.02349226
-7.8660826,0.024219247
-7.8285357,0.024966259
-7.7909887,0.025733762
-7.7534418,0.026522232
-7.7158949,0.027332151
-7.6783479,0.02816401
-7.640801,0.029018309
-7.6032541,0.029895553
-7.5657071,0.03079626
-7.5281602,0.031720952
-7.4906133,0.032670161
-7.4530663,0.033644428
-7.4155194,0.034644302
-7.3779725,0.035670339
-7.3404255,0.036723104
-7.3028786,0.037803172
-7.2653317,0.038911123
-7.2277847,0.040047549
-7.1902378,0.041213047
-7.1526909,0.042408224
-7.1151439,0.043633694
-7.077597,0.044890081
-7.0400501,0.046178015
-7.0025031,0.047498136
-6.9649562,0.04885109
-6.9274093,0.050237533
-6.8898623,0.051658126
-6.8523154,0.05311354
-6.8147685,0.054604453
-6.7772215,0.05613155
-6.7396746,0.057695525
-6.7021277,0.059297076
-6.6645807,0.060936912
-6.6270338,0.062615746
-6.5894869,0.064334298
-6.5519399,0.066093297
-6.514393,0.067893476
-6.4768461,0.069735575
-6.4392991,0.071620339
-6.4017522,0.073548522
-6.3642053,0.075520879
-6.3266583,0.077538174
-6.2891114,0.079601174
