a0,H0,Q
0.1,0,2.4065347e-56
0.10174634,0,6.9977199e-55
0.10352318,0,1.8381844e-53
0.10533104,0,4.3761905e-52
0.10717048,0,9.4719246e-51
0.10904204,0,1.8695224e-49
0.11094629,0,3.3747834e-48
0.11288379,0,5.5874606e-47
0.11485512,0,8.5079827e-46
0.11686089,0,1.1946301e-44
0.11890167,0,1.5507738e-43
0.1209781,0,1.8657294e-42
0.12309079,0,2.0853345e-41
0.12524038,0,2.1703881e-40
0.1274275,0,2.1081832e-39
0.12965282,0,1.9152765e-38
0.131917,0,1.6308684e-37
0.13422072,0,1.3042264e-36
0.13656467,0,9.8149332e-36
0.13894955,0,6.9638233e-35
0.14137608,0,4.6669494e-34
0.14384499,0,2.9594862e-33
0.14635701,0,1.7788742e-32
0.1489129,0,1.0151806e-31
0.15151343,0,5.5094805e-31
0.15415937,0,2.8478986e-30
0.15685152,0,1.4042368e-29
0.15959068,0,6.6144272e-29
0.16237767,0,2.9805327e-28
0.16521334,0,1.2865868e-27
0.16809853,0,5.3272424e-27
0.1710341,0,2.1185567e-26
0.17402094,0,8.1019608e-26
0.17705994,0,2.9831385e-25
0.180152,0,1.0587514e-24
0.18329807,0,3.6260992e-24
0.18649908,0,1.1997277e-23
0.18975599,0,3.838663e-23
0.19306977,0,1.1889784e-22
0.19644143,0,3.5685585e-22
0.19987196,0,1.0388456e-21
0.20336241,0,2.9359574e-21
0.20691381,0,8.0626436e-21
0.21052723,0,2.1533279e-20
0.21420375,0,5.5977294e-20
0.21794448,0,1.4175392e-19
0.22175053,0,3.4996204e-19
0.22562305,0,8.4294621e-19
0.22956319,0,1.982402e-18
0.23357215,0,4.5551879e-18
0.23765111,0,1.0233955e-17
0.24180131,0,2.2495404e-17
0.24602398,0,4.8410376e-17
0.2503204,0,1.0205866e-16
0.25469184,0,2.1090741e-16
0.25913963,0,4.27484e-16
0.26366509,0,8.5031809e-16
0.26826958,0,1.6607956e-15
0.27295448,0,3.1868114e-15
0.27772119,0,6.0107243e-15
0.28257115,0,1.1149244e-14
0.2875058,0,2.0348069e-14
0.29252663,0,3.6556505e-14
0.29763514,0,6.4679686e-14
0.30283287,0,1.1275215e-13
0.30812136,0,1.9374094e-13
0.31350221,0,3.2827502e-13
0.31897702,0,5.487174e-13
0.32454745,0,9.0515568e-13
0.33021515,0,1.474095e-12
0.33598183,0,2.3709053e-12
0.34184921,0,3.7674156e-12
0.34781907,0,5.9164706e-12
0.35389317,0,9.1857886e-12
0.36007335,0,1.4104088e-11
0.36636145,0,2.1423199e-11
0.37275937,0,3.2200769e-11
0.37926902,0,4.7909157e-11
0.38589235,0,7.0577309e-11
0.39263134,0,1.0297364e-10
0.39948802,0,1.4883939e-10
0.40646444,0,2.1318347e-10
0.41356269,0,3.0265128e-10
0.4207849,0,4.2598182e-10
0.42813324,0,5.9456891e-10
0.4356099,0,8.2314401e-10
0.44321713,0,1.1305997e-09
0.45095721,0,1.540974e-09
0.45883246,0,2.0846175e-09
0.46684524,0,2.7995647e-09
0.47499794,0,3.7331338e-09
0.48329302,0,4.943776e-09
0.49173296,0,6.5031983e-09
0.5003203,0,8.4987803e-09
0.50905759,0,1.1036305e-08
0.51794747,0,1.424302e-08
0.52699259,0,1.8271048e-08
0.53619568,0,2.3301152e-08
0.54555948,0,2.9546862e-08
0.5550868,0,3.7258978e-08
0.56478051,0,4.6730424e-08
0.5746435,0,5.8301468e-08
0.58467873,0,7.2365276e-08
0.59488921,0,8.9373783e-08
0.605278,0,1.0984386e-07
0.61584821,0,1.3436374e-07
0.62660302,0,1.6359964e-07
0.63754564,0,1.9830258e-07
0.64867935,0,2.3931529e-07
0.6600075,0,2.8757919e-07
0.67153348,0,3.4414137e-07
0.68326074,0,4.1016143e-07
0.6951928,0,4.8691828e-07
0.70733323,0,5.7581662e-07
0.71968567,0,6.7839318e-07
0.73225383,0,7.9632256e-07
0.74504148,0,9.3142264e-07
0.75805244,0,1.0856594e-06
0.77129061,0,1.2611514e-06
0.78475997,0,1.460173e-06
0.79846455,0,1.6851577e-06
0.81240846,0,1.9386999e-06
0.82659587,0,2.2235565e-06
0.84103105,0,2.5426469e-06
0.85571831,0,2.8990528e-06
0.87066207,0,3.2960165e-06
0.88586679,0,3.7369386e-06
0.90133704,0,4.2253745e-06
0.91707745,0,4.7650298e-06
0.93309274,0,5.3597554e-06
0.94938772,0,6.0135404e-06
0.96596726,0,6.7305054e-06
0.98283633,0,7.514894e-06
1,0,8.3710637e-06
1.0174634,0,9.303476e-06
1.0352318,0,1.0316686e-05
1.0533104,0,1.1415329e-05
1.0717048,0,1.2604112e-05
1.0904204,0,1.3887798e-05
1.1094629,0,1.5271194e-05
1.1288379,0,1.6759137e-05
1.1485512,0,1.835648e-05
1.1686089,0,2.0068079e-05
1.1890167,0,2.1898774e-05
1.209781,0,2.3853383e-05
1.2309079,0,2.5936676e-05
1.2524038,0,2.8153372e-05
1.274275,0,3.0508115e-05
1.2965282,0,3.3005467e-05
1.31917,0,3.5649887e-05
1.3422072,0,3.8445723e-05
1.3656467,0,4.1397198e-05
1.3894955,0,4.4508394e-05
1.4137608,0,4.7783242e-05
1.4384499,0,5.1225511e-05
1.4635701,0,5.4838792e-05
1.489129,0,5.8626497e-05
1.5151343,0,6.259184e-05
1.5415937,0,6.6737832e-05
1.5685152,0,7.1067273e-05
1.5959068,0,7.5582744e-05
1.6237767,0,8.0286599e-05
1.6521334,0,8.5180961e-05
1.6809853,0,9.0267716e-05
1.710341,0,9.5548511e-05
1.7402094,0,0.00010102474
1.7705994,0,0.00010669757
1.80152,0,0.0001125679
1.8329807,0,0.00011863637
1.8649908,0,0.00012490341
1.8975599,0,0.00013136915
1.9306977,0,0.00013803352
1.9644143,0,0.00014489615
1.9987196,0,0.00015195648
2.0336241,0,0.00015921367
2.0691381,0,0.00016666665
2.1052723,0,0.00017431414
2.1420375,0,0.00018215459
2.1794448,0,0.00019018627
2.2175053,0,0.0001984072
2.2562305,0,0.00020681521
2.2956319,0,0.00021540791
2.3357215,0,0.00022418273
2.3765111,0,0.00023313689
2.4180131,0,0.00024226743
2.4602398,0,0.00025157123
2.503204,0,0.000261045
2.5469184,0,0.00027068527
2.5913963,0,0.00028048845
2.6366509,0,0.00029045078
2.6826958,0,0.00030056839
2.7295448,0,0.00031083727
2.7772119,0,0.00032125329
2.8257115,0,0.00033181224
2.875058,0,0.00034250978
2.9252663,0,0.00035334149
2.9763514,0,0.00036430287
3.0283287,0,0.00037538934
3.0812136,0,0.00038659627
3.1350221,0,0.00039791897
3.1897702,0,0.00040935267
3.2454745,0,0.00042089261
3.3021515,0,0.00043253394
3.3598183,0,0.00044427184
3.4184921,0,0.00045610142
3.4781907,0,0.00046801782
3.5389317,0,0.00048001615
3.6007335,0,0.00049209152
3.6636145,0,0.00050423907
3.7275937,0,0.00051645393
3.7926902,0,0.00052873126
3.8589235,0,0.00054106625
3.9263134,0,0.00055345412
3.9948802,0,0.00056589012
4.0646444,0,0.00057836954
4.1356269,0,0.00059088773
4.207849,0,0.00060344007
4.2813324,0,0.000616022
4.356099,0,0.00062862904
4.4321713,0,0.00064125675
4.5095721,0,0.00065390075
4.5883246,0,0.00066655674
4.6684524,0,0.0006792205
4.7499794,0,0.00069188787
4.8329302,0,0.00070455477
4.9173296,0,0.0007172172
5.003203,0,0.00072987125
5.0905759,0,0.00074251307
5.1794747,0,0.00075513892
5.2699259,0,0.00076774513
5.3619568,0,0.00078032813
5.4555948,0,0.00079288442
5.550868,0,0.00080541062
5.6478051,0,0.0008179034
5.746435,0,0.00083035955
5.8467873,0,0.00084277595
5.9488921,0,0.00085514957
6.05278,0,0.00086747745
6.1584821,0,0.00087975675
6.2660302,0,0.00089198471
6.3754564,0,0.00090415866
6.4867935,0,0.00091627603
6.600075,0,0.00092833433
6.7153348,0,0.00094033116
6.8326074,0,0.00095226423
6.951928,0,0.00096413131
7.0733323,0,0.00097593028
7.1968567,0,0.00098765909
7.3225383,0,0.0009993158
7.4504148,0,0.0010108985
7.5805244,0,0.0010224055
7.7129061,0,0.001033835
7.8475997,0,0.0010451854
7.9846455,0,0.0010564551
8.1240846,0,0.0010676428
8.2659587,0,0.001078747
8.4103105,0,0.0010897664
8.5571831,0,0.0011006998
8.7066207,0,0.0011115461
8.8586679,0,0.001122304
9.0133704,0,0.0011329727
9.1707745,0,0.0011435512
9.3309274,0,0.0011540385
9.4938772,0,0.0011644339
9.6596726,0,0.0011747367
9.8283633,0,0.001184946
10,0,0.0011950614
10.174634,0,0.0012050823
10.352318,0,0.0012150081
10.533104,0,0.0012248383
