eta_LT_circular_H0,theta_LT_circular_H0,theta_rr_LT_circular_H0,eta_WNL_circular_H0,theta_WNL_circular_H0,theta_rr_WNL_circular_H0,eta_UR_circular_H0,theta_UR_circular_H0,theta_rr_UR_circular_H0,eta_LT_circular_H1,theta_LT_circular_H1,theta_rr_LT_circular_H1,eta_WNL_circular_H1,theta_WNL_circular_H1,theta_rr_WNL_circular_H1,eta_UR_circular_H1,theta_UR_circular_H1,theta_rr_UR_circular_H1,eta_LT_linear_H0,theta_LT_linear_H0,theta_rr_LT_linear_H0,eta_WNL_linear_H0,theta_WNL_linear_H0,theta_rr_WNL_linear_H0,eta_UR_linear_H0,theta_UR_linear_H0,theta_rr_UR_linear_H0,eta_LT_linear_H1,theta_LT_linear_H1,theta_rr_LT_linear_H1,eta_WNL_linear_H1,theta_WNL_linear_H1,theta_rr_WNL_linear_H1,eta_UR_linear_H1,theta_UR_linear_H1,theta_rr_UR_linear_H1
-3,0,0,-3,0,0,-3,0,0,-3,0,0,-3,0,0,-3,0,0,-3,0,0,-3,0,0,-3,0,0,-3,0,0,-3,0,0,-3,0,0
-2.9989998,2.3375358e-06,2.3375358e-06,-2.9989998,2.3375539e-05,2.3375539e-05,-2.9989998,0.00023375537,0.00023375537,-2.9989998,2.3376308e-06,2.3376308e-06,-2.9989998,2.3376498e-05,2.3376498e-05,-2.9989998,0.00023376498,0.00023376498,-2.9989998,3.3053718e-06,3.3053718e-06,-2.9989998,3.3053913e-05,3.3053913e-05,-2.9989998,0.00033053913,0.00033053913,-2.9989998,3.3052374e-06,3.3052374e-06,-2.9989998,3.3052549e-05,3.3052549e-05,-2.9989998,0.00033052554,0.00033052554
-2.9979997,4.6885883e-06,4.6885883e-06,-2.9979997,4.6885935e-05,4.6885935e-05,-2.9979997,0.00046885938,0.00046885938,-2.9979997,4.6893459e-06,4.6893459e-06,-2.9979997,4.6893654e-05,4.6893654e-05,-2.9979997,0.00046893654,0.00046893654,-2.9979997,6.6273825e-06,6.6273825e-06,-2.9979997,6.6273869e-05,6.6273869e-05,-2.9979997,0.00066273868,0.00066273868,-2.9979997,6.6262768e-06,6.6262768e-06,-2.9979997,6.6262966e-05,6.6262966e-05,-2.9979997,0.00066262965,0.00066262965
-2.9969995,7.0526111e-06,7.0526111e-06,-2.9969995,7.0526146e-05,7.0526146e-05,-2.9969995,0.00070526147,0.00070526147,-2.9969995,7.0552238e-06,7.0552238e-06,-2.9969995,7.0552263e-05,7.0552263e-05,-2.9969995,0.00070552264,0.00070552264,-2.9969995,9.9627608e-06,9.9627608e-06,-2.9969995,9.962761e-05,9.962761e-05,-2.9969995,0.00099627606,0.00099627606,-2.9969995,9.9590604e-06,9.9590604e-06,-2.9969995,9.959074e-05,9.959074e-05,-2.9969995,0.00099590736,0.00099590736
-2.9959993,9.4291035e-06,9.4291035e-06,-2.9959993,9.4291046e-05,9.4291046e-05,-2.9959993,0.00094291044,0.00094291044,-2.9959993,9.4353183e-06,9.4353183e-06,-2.9959993,9.4353136e-05,9.4353136e-05,-2.9959993,0.00094353133,0.00094353133,-2.9959993,1.330823e-05,1.330823e-05,-2.9959993,0.00013308235,0.00013308235,-2.9959993,0.0013308234,0.0013308234,-2.9959993,1.3299485e-05,1.3299485e-05,-2.9959993,0.00013299482,0.00013299482,-2.9959993,0.0013299481,0.0013299481
-2.9949992,1.1817532e-05,1.1817532e-05,-2.9949992,0.00011817546,0.00011817546,-2.9949992,0.0011817545,0.0011817545,-2.9949992,1.1829701e-05,1.1829701e-05,-2.9949992,0.00011829707,0.00011829707,-2.9949992,0.0011829707,0.0011829707,-2.9949992,1.6660471e-05,1.6660471e-05,-2.9949992,0.00016660481,0.00016660481,-2.9949992,0.0016660479,0.0016660479,-2.9949992,1.6643363e-05,1.6643363e-05,-2.9949992,0.00016643367,0.00016643367,-2.9949992,0.0016643365,0.0016643365
-2.993999,1.421741e-05,1.421741e-05,-2.993999,0.00014217413,0.00014217413,-2.993999,0.0014217412,0.0014217412,-2.993999,1.4238479e-05,1.4238479e-05,-2.993999,0.00014238489,0.00014238489,-2.993999,0.0014238488,0.0014238488,-2.993999,2.0016115e-05,2.0016115e-05,-2.993999,0.00020016123,0.00020016123,-2.993999,0.002001612,0.002001612,-2.993999,1.9986529e-05,1.9986529e-05,-2.993999,0.00019986529,0.00019986529,-2.993999,0.0019986526,0.0019986526
-2.9929988,1.6628174e-05,1.6628174e-05,-2.9929988,0.00016628178,0.00016628178,-2.9929988,0.0016628176,0.0016628176,-2.9929988,1.6661737e-05,1.6661737e-05,-2.9929988,0.0001666174,0.0001666174,-2.9929988,0.0016661738,0.0016661738,-2.9929988,2.3371739e-05,2.3371739e-05,-2.9929988,0.00023371742,0.00023371742,-2.9929988,0.0023371736,0.0023371736,-2.9929988,2.332473e-05,2.332473e-05,-2.9929988,0.00023324737,0.00023324737,-2.9929988,0.0023324732,0.0023324732
-2.9919987,1.9049303e-05,1.9049303e-05,-2.9919987,0.00019049304,0.00019049304,-2.9919987,0.0019049301,0.0019049301,-2.9919987,1.9099534e-05,1.9099534e-05,-2.9919987,0.00019099543,0.00019099543,-2.9919987,0.001909954,0.001909954,-2.9919987,2.6723877e-05,2.6723877e-05,-2.9919987,0.00026723876,0.00026723876,-2.9919987,0.0026723868,0.0026723868,-2.9919987,2.6653725e-05,2.6653725e-05,-2.9919987,0.00026653726,0.00026653726,-2.9919987,0.0026653718,0.0026653718
-2.9909985,2.148025e-05,2.148025e-05,-2.9909985,0.00021480248,0.00021480248,-2.9909985,0.0021480244,0.0021480244,-2.9909985,2.1551973e-05,2.1551973e-05,-2.9909985,0.00021551979,0.00021551979,-2.9909985,0.0021551975,0.0021551975,-2.9909985,3.006903e-05,3.006903e-05,-2.9909985,0.00030069028,0.00030069028,-2.9909985,0.0030069017,0.0030069017,-2.9909985,2.996921e-05,2.996921e-05,-2.9909985,0.00029969209,0.00029969209,-2.9909985,0.0029969198,0.0029969198
-2.9899983,2.3920462e-05,2.3920462e-05,-2.9899983,0.00023920465,0.00023920465,-2.9899983,0.002392046,0.002392046,-2.9899983,2.4019128e-05,2.4019128e-05,-2.9899983,0.00024019133,0.00024019133,-2.9899983,0.0024019127,0.0024019127,-2.9899983,3.3403664e-05,3.3403664e-05,-2.9899983,0.00033403664,0.00033403664,-2.9899983,0.0033403648,0.0033403648,-2.9899983,3.3266882e-05,3.3266882e-05,-2.9899983,0.00033266886,0.00033266886,-2.9899983,0.0033266871,0.0033266871
-2.9889982,2.6369397e-05,2.6369397e-05,-2.9889982,0.00026369402,0.00026369402,-2.9889982,0.0026369394,0.0026369394,-2.9889982,2.6501086e-05,2.6501086e-05,-2.9889982,0.00026501087,0.00026501087,-2.9889982,0.0026501079,0.0026501079,-2.9889982,3.6724219e-05,3.6724219e-05,-2.9889982,0.00036724218,0.00036724218,-2.9889982,0.0036724198,0.0036724198,-2.9889982,3.6542442e-05,3.6542442e-05,-2.9889982,0.00036542446,0.00036542446,-2.9889982,0.0036542426,0.0036542426
-2.987998,2.8826496e-05,2.8826496e-05,-2.987998,0.00028826499,0.00028826499,-2.987998,0.0028826489,0.0028826489,-2.987998,2.899792e-05,2.899792e-05,-2.987998,0.00028997924,0.00028997924,-2.987998,0.0028997914,0.0028997914,-2.987998,4.0027099e-05,4.0027099e-05,-2.987998,0.00040027098,0.00040027098,-2.987998,0.0040027072,0.0040027072,-2.987998,3.9791575e-05,3.9791575e-05,-2.987998,0.00039791578,0.00039791578,-2.987998,0.0039791552,0.0039791552
-2.9869978,3.129119e-05,3.129119e-05,-2.9869978,0.00031291195,0.00031291195,-2.9869978,0.0031291182,0.0031291182,-2.9869978,3.1509731e-05,3.1509731e-05,-2.9869978,0.0003150973,0.0003150973,-2.9869978,0.0031509717,0.0031509717,-2.9869978,4.3308686e-05,4.3308686e-05,-2.9869978,0.00043308686,0.00043308686,-2.9869978,0.0043308652,0.0043308652,-2.9869978,4.3009976e-05,4.3009976e-05,-2.9869978,0.00043009978,0.00043009978,-2.9869978,0.0043009945,0.0043009945
-2.9859977,3.3762921e-05,3.3762921e-05,-2.9859977,0.0003376292,0.0003376292,-2.9859977,0.0033762904,0.0033762904,-2.9859977,3.4036588e-05,3.4036588e-05,-2.9859977,0.00034036589,0.00034036589,-2.9859977,0.0034036573,0.0034036573,-2.9859977,4.656534e-05,4.656534e-05,-2.9859977,0.00046565341,0.00046565341,-2.9859977,0.0046565299,0.0046565299,-2.9859977,4.6193355e-05,4.6193355e-05,-2.9859977,0.00046193355,0.00046193355,-2.9859977,0.0046193315,0.0046193315
-2.9849975,3.6241101e-05,3.6241101e-05,-2.9849975,0.00036241101,0.00036241101,-2.9849975,0.0036241081,0.0036241081,-2.9849975,3.6578584e-05,3.6578584e-05,-2.9849975,0.00036578586,0.00036578586,-2.9849975,0.0036578566,0.0036578566,-2.9849975,4.9793407e-05,4.9793407e-05,-2.9849975,0.00049793407,0.00049793407,-2.9849975,0.0049793356,0.0049793356,-2.9849975,4.9337445e-05,4.9337445e-05,-2.9849975,0.00049337444,0.00049337444,-2.9849975,0.0049337394,0.0049337394
-2.9839973,3.8725157e-05,3.8725157e-05,-2.9839973,0.0003872516,0.0003872516,-2.9839973,0.0038725136,0.0038725136,-2.9839973,3.9135806e-05,3.9135806e-05,-2.9839973,0.00039135807,0.00039135807,-2.9839973,0.0039135782,0.0039135782,-2.9839973,5.2989212e-05,5.2989212e-05,-2.9839973,0.00052989211,0.00052989211,-2.9839973,0.0052989149,0.0052989149,-2.9839973,5.2438006e-05,5.2438006e-05,-2.9839973,0.00052438006,0.00052438006,-2.9839973,0.0052437947,0.0052437947
-2.9829972,4.1214511e-05,4.1214511e-05,-2.9829972,0.00041214514,0.00041214514,-2.9829972,0.0041214485,0.0041214485,-2.9829972,4.1708337e-05,4.1708337e-05,-2.9829972,0.00041708337,0.00041708337,-2.9829972,0.0041708307,0.0041708307,-2.9829972,5.614907e-05,5.614907e-05,-2.9829972,0.00056149071,0.00056149071,-2.9829972,0.0056148998,0.0056148998,-2.9829972,5.5490844e-05,5.5490844e-05,-2.9829972,0.00055490845,0.00055490845,-2.9829972,0.0055490775,0.0055490775
-2.981997,4.3708573e-05,4.3708573e-05,-2.981997,0.00043708576,0.00043708576,-2.981997,0.0043708541,0.0043708541,-2.981997,4.4296263e-05,4.4296263e-05,-2.981997,0.00044296263,0.00044296263,-2.981997,0.0044296228,0.0044296228,-2.981997,5.9269301e-05,5.9269301e-05,-2.981997,0.00059269299,0.00059269299,-2.981997,0.0059269213,0.0059269213,-2.981997,5.8491813e-05,5.8491813e-05,-2.981997,0.00058491811,0.00058491811,-2.981997,0.0058491728,0.0058491728
-2.9809968,4.6206754e-05,4.6206754e-05,-2.9809968,0.00046206753,0.00046206753,-2.9809968,0.0046206712,0.0046206712,-2.9809968,4.6899671e-05,4.6899671e-05,-2.9809968,0.00046899673,0.00046899673,-2.9809968,0.004689963,0.004689963,-2.9809968,6.2346202e-05,6.2346202e-05,-2.9809968,0.00062346201,0.00062346201,-2.9809968,0.0062346101,0.0062346101,-2.9809968,6.143681e-05,6.143681e-05,-2.9809968,0.0006143681,0.0006143681,-2.9809968,0.0061436715,0.0061436715
-2.9799967,4.8708447e-05,4.8708447e-05,-2.9799967,0.00048708449,0.00048708449,-2.9799967,0.0048708401,0.0048708401,-2.9799967,4.9518651e-05,4.9518651e-05,-2.9799967,0.00049518653,0.00049518653,-2.9799967,0.0049518603,0.0049518603,-2.9799967,6.5376086e-05,6.5376086e-05,-2.9799967,0.00065376086,0.00065376086,-2.9799967,0.0065375971,0.0065375971,-2.9799967,6.4321815e-05,6.4321815e-05,-2.9799967,0.00064321816,0.00064321816,-2.9799967,0.0064321706,0.0064321706
-2.9789965,5.1213065e-05,5.1213065e-05,-2.9789965,0.00051213064,0.00051213064,-2.9789965,0.0051213008,0.0051213008,-2.9789965,5.2153289e-05,5.2153289e-05,-2.9789965,0.00052153291,0.00052153291,-2.9789965,0.0052153233,0.0052153233,-2.9789965,6.8355266e-05,6.8355266e-05,-2.9789965,0.00068355267,0.00068355267,-2.9789965,0.0068355135,0.0068355135,-2.9789965,6.7142876e-05,6.7142876e-05,-2.9789965,0.00067142876,0.00067142876,-2.9789965,0.0067142751,0.0067142751
-2.9779963,5.3719994e-05,5.3719994e-05,-2.9779963,0.00053719993,0.00053719993,-2.9779963,0.0053719929,0.0053719929,-2.9779963,5.4803675e-05,5.4803675e-05,-2.9779963,0.00054803676,0.00054803676,-2.9779963,0.0054803608,0.0054803608,-2.9779963,7.1280062e-05,7.1280062e-05,-2.9779963,0.00071280063,0.00071280063,-2.9779963,0.0071279914,0.0071279914,-2.9779963,6.9896123e-05,6.9896123e-05,-2.9779963,0.00069896123,0.00069896123,-2.9779963,0.0069895982,0.0069895982
-2.9769962,5.6228627e-05,5.6228627e-05,-2.9769962,0.00056228628,0.00056228628,-2.9769962,0.0056228555,0.0056228555,-2.9769962,5.7469898e-05,5.7469898e-05,-2.9769962,0.00057469896,0.00057469896,-2.9769962,0.0057469818,0.0057469818,-2.9769962,7.414681e-05,7.414681e-05,-2.9769962,0.00074146809,0.00074146809,-2.9769962,0.0074146641,0.0074146641,-2.9769962,7.2577785e-05,7.2577785e-05,-2.9769962,0.00072577784,0.00072577784,-2.9769962,0.0072577626,0.0072577626
-2.975996,5.8738359e-05,5.8738359e-05,-2.975996,0.00058738357,0.00058738357,-2.975996,0.0058738274,0.0058738274,-2.975996,6.015204e-05,6.015204e-05,-2.975996,0.00060152041,0.00060152041,-2.975996,0.0060151952,0.0060151952,-2.975996,7.6951853e-05,7.6951853e-05,-2.975996,0.00076951853,0.00076951853,-2.975996,0.0076951665,0.0076951665,-2.975996,7.5184195e-05,7.5184195e-05,-2.975996,0.00075184194,0.00075184194,-2.975996,0.0075184018,0.0075184018
