x_fwd_H0,y_fwd_H0,x_fwd_H1,y_fwd_H1,x_fwd_H2,y_fwd_H2,x_fwd_H3.5,y_fwd_H3.5,x_fwd_H5,y_fwd_H5,x_back_H0,y_back_H0,x_back_H1,y_back_H1,x_back_H2,y_back_H2,x_back_H3.5,y_back_H3.5,x_back_H5,y_back_H5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2.1045259e-08,-1.3246443e-10,-2.1044012e-08,-2.6462637e-10,-2.1041521e-08,-3.9676952e-10,-2.1035449e-08,-5.9491822e-10,-2.1026578e-08,-7.9294548e-10,-1.0549068e-09,-6.6398628e-12,-1.0549052e-09,-6.9719416e-12,-1.0549034e-09,-7.3040197e-12,-1.0549004e-09,-7.8021353e-12,-1.054897e-09,-8.3002489e-12
-8.4426951e-08,-1.0644434e-09,-8.4406954e-08,-2.1239554e-09,-8.4367006e-08,-3.1828653e-09,-8.4269718e-08,-4.7691148e-09,-8.4127701e-08,-6.3514765e-09,-4.231954e-09,-5.3355897e-11,-4.2319276e-09,-5.6018373e-11,-4.2318987e-09,-5.8680827e-11,-4.2318505e-09,-6.2674461e-11,-4.2317968e-09,-6.666803e-11
-1.9050483e-07,-3.6084056e-09,-1.9040333e-07,-7.1913812e-09,-1.9020071e-07,-1.0769774e-08,-1.897077e-07,-1.612129e-08,-1.8898901e-07,-2.1443295e-08,-9.5491744e-09,-1.8087358e-10,-9.5490401e-09,-1.8987889e-10,-9.5488932e-09,-1.9888403e-10,-9.5486488e-09,-2.1239139e-10,-9.5483757e-09,-2.2589825e-10
-3.3962619e-07,-8.5908489e-09,-3.3930459e-07,-1.7099848e-08,-3.386631e-07,-2.5589514e-08,-3.3710407e-07,-3.8256246e-08,-3.3483564e-07,-5.0798766e-08,-1.7023976e-08,-4.3062157e-10,-1.702355e-08,-4.5201294e-10,-1.7023084e-08,-4.7340362e-10,-1.7022309e-08,-5.0548811e-10,-1.7021444e-08,-5.375705e-10
-5.3212546e-07,-1.6852176e-08,-5.3133835e-07,-3.3500913e-08,-5.2976977e-07,-5.0090583e-08,-5.2596298e-07,-7.4768231e-08,-5.2043739e-07,-9.9067591e-08,-2.6673123e-08,-8.4472569e-10,-2.667208e-08,-8.8659319e-10,-2.6670939e-08,-9.2845853e-10,-2.6669041e-08,-9.9125191e-10,-2.6666921e-08,-1.0540389e-09
-7.6832388e-07,-2.924657e-08,-7.6668772e-07,-5.8063792e-08,-7.6343048e-07,-8.6733851e-08,-7.5553904e-07,-1.2922432e-07,-7.4411811e-07,-1.707762e-07,-3.8512717e-08,-1.4660025e-09,-3.8510547e-08,-1.5384983e-09,-3.8508172e-08,-1.6109889e-09,-3.8504225e-08,-1.719713e-09,-3.8499817e-08,-1.8284212e-09
-1.048529e-06,-4.6641857e-08,-1.0454905e-06,-9.2474372e-08,-1.0394484e-06,-1.3798842e-07,-1.0248393e-06,-2.0514785e-07,-1.0037687e-06,-2.7028609e-07,-5.2558178e-08,-2.3379522e-09,-5.2554144e-08,-2.4533056e-09,-5.254973e-08,-2.5686474e-09,-5.2542395e-08,-2.741635e-09,-5.2534205e-08,-2.914588e-09
-1.3730346e-06,-6.9919361e-08,-1.3678388e-06,-1.384342e-07,-1.3575197e-06,-2.0632745e-07,-1.332626e-06,-3.0600205e-07,-1.2968639e-06,-4.0175361e-07,-6.8824222e-08,-3.5047517e-09,-6.8817318e-08,-3.6772827e-09,-6.8809763e-08,-3.8497911e-09,-6.8797213e-08,-4.1085045e-09,-6.87832e-08,-4.3671502e-09
-1.7421198e-06,-9.9973743e-08,-1.7337777e-06,-1.9765946e-07,-1.7172327e-06,-2.9422395e-07,-1.6774211e-06,-4.3517382e-07,-1.6204841e-06,-5.6909176e-07,-8.7324849e-08,-5.0112464e-09,-8.7313752e-08,-5.2573794e-09,-8.7301613e-08,-5.5034713e-09,-8.7281448e-08,-5.8725205e-09,-8.7258939e-08,-6.2414474e-09
