x_linear_H0,y_linear_H0,x_linear_H1,y_linear_H1,x_circular_H0,y_circular_H0,x_circular_H1,y_circular_H1,x_elliptical_H0,y_elliptical_H0,x_elliptical_H1,y_elliptical_H1
0,0,0,0,0,0,0,0,0,0,0,0
-2.9762491e-08,0,-2.976161e-08,-1.8690853e-10,-2.1045259e-08,-1.3246443e-10,-2.1044012e-08,-2.6462637e-10,-2.5521125e-08,-9.6382029e-11,-2.5519916e-08,-2.5665306e-10
-1.1939774e-07,0,-1.1938363e-07,-1.4984829e-09,-8.4426951e-08,-1.0644434e-09,-8.4406954e-08,-2.1239554e-09,-1.0238272e-07,-7.7449637e-10,-1.0236333e-07,-2.05938e-09
-2.6941451e-07,0,-2.6934294e-07,-5.0679051e-09,-1.9050483e-07,-3.6084056e-09,-1.9040333e-07,-7.1913812e-09,-2.3102104e-07,-2.6255007e-09,-2.3092264e-07,-6.9707755e-09
-4.8030396e-07,0,-4.8007737e-07,-1.2036979e-08,-3.3962619e-07,-8.5908489e-09,-3.3930459e-07,-1.7099848e-08,-4.1185725e-07,-6.2507607e-09,-4.1154553e-07,-1.6570617e-08
-7.5253904e-07,0,-7.5198498e-07,-2.3555387e-08,-5.3212546e-07,-1.6852176e-08,-5.3133835e-07,-3.3500913e-08,-6.4529691e-07,-1.2261759e-08,-6.4453416e-07,-3.2454926e-08
-1.086574e-06,0,-1.0854234e-06,-4.0779943e-08,-7.6832388e-07,-2.924657e-08,-7.6668772e-07,-5.8063792e-08,-9.3172956e-07,-2.1280005e-08,-9.301444e-07,-5.623502e-08
-1.482844e-06,0,-1.480709e-06,-6.4873819e-08,-1.048529e-06,-4.6641857e-08,-1.0454905e-06,-9.2474372e-08,-1.2715282e-06,-3.3936936e-08,-1.2685851e-06,-8.9536526e-08
-1.9417641e-06,0,-1.9381166e-06,-9.7005759e-08,-1.3730346e-06,-6.9919361e-08,-1.3678388e-06,-1.384342e-07,-1.665049e-06,-5.0873807e-08,-1.6600174e-06,-1.3399838e-07
-2.4637294e-06,0,-2.4578786e-06,-1.3834928e-07,-1.7421198e-06,-9.9973743e-08,-1.7337777e-06,-1.9765946e-07,-2.1126305e-06,-7.2741583e-08,-2.104554e-06,-1.9127179e-07
-3.0491139e-06,0,-3.0401841e-06,-1.9008189e-07,-2.1560491e-06,-1.3771284e-07,-2.1433055e-06,-2.718799e-07,-2.6145936e-06,-1.0020081e-07,-2.6022584e-06,-2.6301923e-07
-3.6982701e-06,0,-3.6851788e-06,-2.5338422e-07,-2.6150719e-06,-1.8405751e-07,-2.5963724e-06,-3.6283782e-07,-3.1712405e-06,-1.3392151e-07,-3.1531443e-06,-3.5091336e-07
-4.4115289e-06,0,-4.3929642e-06,-3.2943926e-07,-3.119422e-06,-2.399414e-07,-3.0928801e-06,-4.722869e-07,-3.7828548e-06,-1.7458301e-07,-3.7571751e-06,-4.5663593e-07
-5.1891984e-06,0,-5.1635968e-06,-4.1943147e-07,-3.6693174e-06,-3.0631082e-07,-3.6326814e-06,-6.0199119e-07,-4.4497009e-06,-2.2287386e-07,-4.414263e-06,-5.8187673e-07
-6.0315638e-06,0,-5.9970879e-06,-5.2454597e-07,-4.2649596e-06,-3.8412449e-07,-4.2155791e-06,-7.537239e-07,-5.1720233e-06,-2.7949162e-07,-5.1242685e-06,-7.2833247e-07
-6.9388866e-06,0,-6.8934027e-06,-6.4596766e-07,-4.9065338e-06,-4.7435337e-07,-4.8413264e-06,-9.2926629e-07,-5.9500462e-06,-3.4514277e-07,-5.887e-06,-8.9770562e-07
-7.9114044e-06,0,-7.8524602e-06,-7.8488035e-07,-5.5942077e-06,-5.7798041e-07,-5.5096251e-06,-1.1304065e-06,-6.7839733e-06,-4.2054252e-07,-6.7022127e-06,-1.0917033e-06
-8.94933e-06,0,-8.8741321e-06,-9.424659e-07,-6.3281319e-06,-6.9600035e-07,-6.2201265e-06,-1.3589384e-06,-7.6739872e-06,-5.0641464e-07,-7.569609e-06,-1.312036e-06
-1.0052851e-05,0,-9.9582431e-06,-1.1199033e-06,-7.1084392e-06,-8.2941947e-07,-6.9724296e-06,-1.6166601e-06,-8.6202487e-06,-6.0349131e-07,-8.4888369e-06,-1.5604167e-06
-1.1222129e-05,0,-1.110457e-05,-1.3183677e-06,-7.9352439e-06,-9.7925534e-07,-7.7660817e-06,-1.9053734e-06,-9.6228967e-06,-7.1251292e-07,-9.4594904e-06,-1.8385592e-06
-1.2457301e-05,0,-1.231284e-05,-1.5390297e-06,-8.808642e-06,-1.1465366e-06,-8.6005775e-06,-2.2268817e-06,-1.0682047e-05,-8.3422789e-07,-1.0481109e-05,-2.1481773e-06
-1.3758474e-05,0,-1.3582733e-05,-1.7830543e-06,-9.7287106e-06,-1.3323025e-06,-9.4753586e-06,-2.5829891e-06,-1.1797795e-05,-9.6939248e-07,-1.1553175e-05,-2.4909832e-06
-1.5125732e-05,0,-1.491388e-05,-2.0515998e-06,-1.0695507e-05,-1.5376031e-06,-1.0389813e-05,-2.9754996e-06,-1.2970208e-05,-1.1187706e-06,-1.2675118e-05,-2.8686869e-06
-1.6559126e-05,0,-1.6305861e-05,-2.3458173e-06,-1.170907e-05,-1.7634984e-06,-1.1343276e-05,-3.4062149e-06,-1.4199333e-05,-1.2831336e-06,-1.384631e-05,-3.2829941e-06
-1.8058683e-05,0,-1.7758206e-05,-2.6668494e-06,-1.2769417e-05,-2.0110585e-06,-1.2335029e-05,-3.8769339e-06,-1.5485193e-05,-1.46326e-06,-1.5066066e-05,-3.7356056e-06
-1.96244e-05,0,-1.9270396e-05,-3.0158294e-06,-1.3876546e-05,-2.2813629e-06,-1.3364296e-05,-4.389451e-06,-1.6827784e-05,-1.6599353e-06,-1.6333645e-05,-4.2282157e-06
-2.1256243e-05,0,-2.0841861e-05,-3.3938804e-06,-1.5030434e-05,-2.5755005e-06,-1.4430251e-05,-4.9455546e-06,-1.8227078e-05,-1.8739519e-06,-1.7648249e-05,-4.7625109e-06
-2.2954151e-05,0,-2.2471979e-05,-3.8021141e-06,-1.6231036e-05,-2.8945694e-06,-1.5532011e-05,-5.5470262e-06,-1.9683022e-05,-2.1061086e-06,-1.9009023e-05,-5.3401688e-06
-2.4718029e-05,0,-2.4160077e-05,-4.2416303e-06,-1.7478286e-05,-3.2396759e-06,-1.6668637e-05,-6.1956386e-06,-2.1195535e-05,-2.3572105e-06,-2.0415053e-05,-5.9628564e-06
-2.6547754e-05,0,-2.5905433e-05,-4.7135152e-06,-1.8772097e-05,-3.611935e-06,-1.7839136e-05,-6.8931547e-06,-2.2764511e-05,-2.6280688e-06,-2.1865368e-05,-6.6322292e-06
-2.8443171e-05,0,-2.7707269e-05,-5.2188413e-06,-2.0112359e-05,-4.0124695e-06,-1.9042461e-05,-7.6413263e-06,-2.4389818e-05,-2.9195004e-06,-2.335894e-05,-7.3499293e-06
-3.0404092e-05,0,-2.9564759e-05,-5.7586657e-06,-2.149894e-05,-4.4424098e-06,-2.0277506e-05,-8.4418922e-06,-2.6071294e-05,-3.2323279e-06,-2.4894682e-05,-8.1175848e-06
-3.2430299e-05,0,-3.1477023e-05,-6.3340294e-06,-2.2931684e-05,-4.9028933e-06,-2.1543114e-05,-9.2965772e-06,-2.7808752e-05,-3.5673789e-06,-2.6471448e-05,-8.9368077e-06
-3.4521538e-05,0,-3.3443128e-05,-6.9459566e-06,-2.4410413e-05,-5.3950646e-06,-2.2838069e-05,-1.0207091e-05,-2.9601974e-05,-3.9254861e-06,-2.8088034e-05,-9.8091929e-06
-3.6677524e-05,0,-3.546209e-05,-7.5954531e-06,-2.5934926e-05,-5.9200745e-06,-2.41611e-05,-1.1175125e-05,-3.1450718e-05,-4.3074869e-06,-2.9743179e-05,-1.0736317e-05
-3.8897939e-05,0,-3.7532873e-05,-8.2835058e-06,-2.7504996e-05,-6.47908e-06,-2.5510882e-05,-1.2202354e-05,-3.3354707e-05,-4.7142232e-06,-3.1435562e-05,-1.1719736e-05
-4.1182427e-05,0,-3.9654386e-05,-9.0110817e-06,-2.9120374e-05,-7.0732435e-06,-2.6886032e-05,-1.3290432e-05,-3.531364e-05,-5.1465406e-06,-3.3163804e-05,-1.2760985e-05
-4.3530602e-05,0,-4.1825488e-05,-9.7791264e-06,-3.0780784e-05,-7.7037329e-06,-2.8285115e-05,-1.444099e-05,-3.7327183e-05,-5.605289e-06,-3.4926468e-05,-1.3861576e-05
-4.594204e-05,0,-4.4044983e-05,-1.0588564e-05,-3.2485928e-05,-8.3717205e-06,-2.9706636e-05,-1.565564e-05,-3.9394975e-05,-6.0913214e-06,-3.6722057e-05,-1.5022999e-05
-4.8416283e-05,0,-4.6311623e-05,-1.1440295e-05,-3.4235482e-05,-9.0783833e-06,-3.1149048e-05,-1.6935966e-05,-4.151662e-05,-6.6054941e-06,-3.8549017e-05,-1.6246714e-05
-5.0952835e-05,0,-4.8624109e-05,-1.2335196e-05,-3.6029095e-05,-9.8249019e-06,-3.2610749e-05,-1.8283527e-05,-4.3691696e-05,-7.1486662e-06,-4.0405737e-05,-1.7534158e-05
-5.3551166e-05,0,-5.0981087e-05,-1.3274119e-05,-3.7866393e-05,-1.061246e-05,-3.4090082e-05,-1.9699857e-05,-4.5919746e-05,-7.7216992e-06,-4.2290546e-05,-1.8886737e-05
-5.6210708e-05,0,-5.3381153e-05,-1.4257889e-05,-3.9746973e-05,-1.1442246e-05,-3.5585333e-05,-2.1186459e-05,-4.8200285e-05,-8.3254569e-06,-4.4201717e-05,-2.0305829e-05
-5.8930857e-05,0,-5.5822847e-05,-1.5287305e-05,-4.1670408e-05,-1.2315448e-05,-3.7094736e-05,-2.2744805e-05,-5.0532793e-05,-8.9608049e-06,-4.6137463e-05,-2.1792779e-05
-6.1710969e-05,0,-5.830466e-05,-1.6363139e-05,-4.3636245e-05,-1.3233259e-05,-3.8616471e-05,-2.4376337e-05,-5.2916719e-05,-9.6286101e-06,-4.8095943e-05,-2.3348901e-05
-6.4550365e-05,0,-6.0825029e-05,-1.7486131e-05,-4.5644001e-05,-1.419687e-05,-4.0148663e-05,-2.6082464e-05,-5.5351481e-05,-1.032974e-05,-5.0075256e-05,-2.4975473e-05
-6.7448326e-05,0,-6.3382339e-05,-1.8656994e-05,-4.7693169e-05,-1.5207477e-05,-4.1689386e-05,-2.7864557e-05,-5.7836462e-05,-1.1065065e-05,-5.2073447e-05,-2.6673739e-05
-7.0404095e-05,0,-6.5974926e-05,-1.9876408e-05,-4.9783213e-05,-1.6266274e-05,-4.3236658e-05,-2.9723954e-05,-6.0371014e-05,-1.1835452e-05,-5.4088503e-05,-2.8444905e-05
-7.3416876e-05,0,-6.860107e-05,-2.1145023e-05,-5.1913571e-05,-1.7374454e-05,-4.4788448e-05,-3.1661954e-05,-6.2954452e-05,-1.2641772e-05,-5.6118355e-05,-3.0290138e-05
-7.6485835e-05,0,-7.1259004e-05,-2.2463454e-05,-5.4083652e-05,-1.8533213e-05,-4.634267e-05,-3.3679816e-05,-6.5586062e-05,-1.3484893e-05,-5.8160882e-05,-3.2210567e-05
-7.9610095e-05,0,-7.3946908e-05,-2.3832284e-05,-5.6292838e-05,-1.9743742e-05,-4.7897188e-05,-3.5778758e-05,-6.8265093e-05,-1.4365682e-05,-6.0213903e-05,-3.4207276e-05
-8.2788742e-05,0,-7.6662911e-05,-2.5252061e-05,-5.8540481e-05,-2.1007232e-05,-4.9449816e-05,-3.7959957e-05,-7.099076e-05,-1.5285007e-05,-6.2275188e-05,-3.6281311e-05
-8.6020821e-05,0,-7.9405093e-05,-2.6723295e-05,-6.0825906e-05,-2.2324873e-05,-5.0998318e-05,-4.0224544e-05,-7.3762246e-05,-1.6243731e-05,-6.4342449e-05,-3.8433669e-05
-8.9305338e-05,0,-8.2171484e-05,-2.8246463e-05,-6.314841e-05,-2.369785e-05,-5.2540406e-05,-4.2573607e-05,-7.6578695e-05,-1.7242719e-05,-6.6413347e-05,-4.0665306e-05
-9.2641255e-05,0,-8.4960064e-05,-2.9822001e-05,-6.5507259e-05,-2.5127346e-05,-5.4073745e-05,-4.5008184e-05,-7.943922e-05,-1.828283e-05,-6.8485491e-05,-4.2977126e-05
