x_oam_H0,y_oam_H0,x_oam_H1,y_oam_H1,x_mixed_H0,y_mixed_H0,x_mixed_H1,y_mixed_H1
0.35,0,0.35,0,0,0,0,0
0.35,-2.1560053e-11,0.35,-4.3070873e-11,-2.5403875e-08,-6.6232215e-11,-2.5402811e-08,-2.2576745e-10
0.34999999,-1.7324996e-10,0.34999999,-3.4569727e-10,-1.0191235e-07,-5.3222172e-10,-1.0189529e-07,-1.8112192e-09
0.34999997,-5.8730789e-10,0.34999997,-1.1704767e-09,-2.2995967e-07,-1.8042028e-09,-2.2987314e-07,-6.1296431e-09
0.34999994,-1.3982562e-09,0.34999994,-2.7831911e-09,-4.0996507e-07,-4.2954245e-09,-4.0969098e-07,-1.4568414e-08
0.34999991,-2.7428795e-09,0.34999991,-5.4526472e-09,-6.4233225e-07,-8.4260881e-09,-6.4166166e-07,-2.852815e-08
0.34999987,-4.7602049e-09,0.34999988,-9.450526e-09,-9.2744896e-07,-1.4623285e-08,-9.2605554e-07,-4.9421868e-08
0.34999983,-7.5914802e-09,0.34999983,-1.5051225e-08,-1.2656865e-06,-2.3320929e-08,-1.2630998e-06,-7.8674096e-08
0.34999978,-1.138015e-08,0.34999978,-2.2531691e-08,-1.6573994e-06,-3.495968e-08,-1.6529777e-06,-1.1771998e-07
0.34999972,-1.6271831e-08,0.34999972,-3.2171255e-08,-2.1029246e-06,-4.9986872e-08,-2.0958281e-06,-1.6800437e-07
0.34999965,-2.2414284e-08,0.34999965,-4.4251456e-08,-2.6025815e-06,-6.8856422e-08,-2.5917448e-06,-2.3098089e-07
0.34999957,-2.9957386e-08,0.34999958,-5.9055868e-08,-3.156671e-06,-9.2028754e-08,-3.1407756e-06,-3.0811102e-07
0.34999949,-3.9053102e-08,0.3499995,-7.6869925e-08,-3.7654754e-06,-1.199707e-07,-3.7429222e-06,-4.0086308e-07
0.3499994,-4.985545e-08,0.34999941,-9.7980738e-08,-4.4292579e-06,-1.5315541e-07,-4.3981391e-06,-5.1071133e-07
0.34999931,-6.2520475e-08,0.34999931,-1.2267691e-07,-5.1482617e-06,-1.9206225e-07,-5.1063335e-06,-6.3913494e-07
0.3499992,-7.7206207e-08,0.34999921,-1.5124836e-07,-5.9227102e-06,-2.3717669e-07,-5.8673645e-06,-7.8761698e-07
0.34999909,-9.4072633e-08,0.3499991,-1.8398612e-07,-6.7528061e-06,-2.8899021e-07,-6.6810427e-06,-9.5764343e-07
0.34999897,-1.1328165e-07,0.34999899,-2.2118214e-07,-7.638731e-06,-3.4800018e-07,-7.5471293e-06,-1.1507021e-06
0.34999884,-1.3499705e-07,0.34999887,-2.6312912e-07,-8.5806451e-06,-4.1470974e-07,-8.4653364e-06,-1.3682817e-06
0.34999871,-1.5938444e-07,0.34999874,-3.1012027e-07,-9.5786867e-06,-4.8962767e-07,-9.4353257e-06,-1.6118706e-06
0.34999857,-1.8661125e-07,0.3499986,-3.6244915e-07,-1.0632972e-05,-5.7326828e-07,-1.0456709e-05,-1.8829557e-06
0.34999842,-2.1684662e-07,0.34999846,-4.2040942e-07,-1.1743593e-05,-6.6615127e-07,-1.1529046e-05,-2.1830217e-06
0.34999826,-2.5026146e-07,0.34999831,-4.8429467e-07,-1.2910619e-05,-7.6880156e-07,-1.2651847e-05,-2.5135497e-06
0.34999809,-2.8702829e-07,0.34999815,-5.5439818e-07,-1.4134098e-05,-8.8174921e-07,-1.3824569e-05,-2.8760161e-06
0.34999792,-3.2732126e-07,0.34999799,-6.3101274e-07,-1.541405e-05,-1.0055292e-06,-1.5046617e-05,-3.2718917e-06
0.34999774,-3.7131611e-07,0.34999782,-7.1443036e-07,-1.6750473e-05,-1.1406814e-06,-1.6317346e-05,-3.7026402e-06
0.34999755,-4.1919005e-07,0.34999765,-8.0494213e-07,-1.8143339e-05,-1.2877503e-06,-1.7636056e-05,-4.1697175e-06
0.34999736,-4.7112178e-07,0.34999747,-9.0283794e-07,-1.9592593e-05,-1.4472847e-06,-1.9001995e-05,-4.6745702e-06
0.34999716,-5.272914e-07,0.34999729,-1.0084064e-06,-2.1098157e-05,-1.619838e-06,-2.0414357e-05,-5.2186344e-06
0.34999694,-5.8788036e-07,0.3499971,-1.1219344e-06,-2.2659925e-05,-1.8059675e-06,-2.1872284e-05,-5.803335e-06
