eV_LT,dW_LT,eV_WNL,dW_WNL,eV_UR,dW_UR
0.00041756924,0.21430291,0.067626926,0.33972349,64.127503,0.35561245
0.00042979348,0.2163262,0.069606689,0.3426346,66.004821,0.35826518
0.00044237559,0.21836774,0.071644409,0.34556519,67.937097,0.3609345
0.00045532603,0.22042766,0.073741782,0.34851525,69.92594,0.36362047
0.0004686556,0.22250611,0.075900556,0.35148479,71.973006,0.36632313
0.00048237538,0.22460323,0.078122528,0.3544738,74.079999,0.36904251
0.00049649681,0.22671916,0.080409547,0.35748227,76.248674,0.37177865
0.00051103165,0.22885404,0.082763518,0.3605102,78.480837,0.37453162
0.00052599198,0.23100802,0.085186401,0.36355757,80.778346,0.37730143
0.00054139028,0.23318125,0.087680214,0.36662436,83.143113,0.3800881
0.00055723935,0.23537386,0.090247032,0.36971056,85.577109,0.38289167
0.00057355241,0.237586,0.092888994,0.37281616,88.082359,0.38571216
0.00059034303,0.23981782,0.095608298,0.37594112,90.66095,0.38854963
0.00060762518,0.24206946,0.098407209,0.37908541,93.315029,0.3914041
0.00062541327,0.24434105,0.10128806,0.38224901,96.046805,0.3942756
0.0006437221,0.24663276,0.10425324,0.38543186,98.858554,0.39716417
0.00066256692,0.24894472,0.10730523,0.38863391,101.75262,0.40006981
0.00068196342,0.25127709,0.11044657,0.39185512,104.7314,0.40299256
0.00070192774,0.25363,0.11367987,0.39509545,107.79739,0.40593244
0.00072247652,0.25600359,0.11700782,0.39835485,110.95313,0.40888946
0.00074362685,0.25839802,0.1204332,0.40163327,114.20126,0.41186365
0.00076539636,0.26081343,0.12395885,0.40493062,117.54448,0.414855
0.00078780316,0.26324994,0.12758772,0.40824683,120.98556,0.41786354
0.00081086592,0.26570771,0.13132282,0.41158185,124.52739,0.42088927
0.00083460384,0.26818689,0.13516726,0.41493559,128.1729,0.42393222
0.00085903667,0.27068763,0.13912426,0.41830797,131.92513,0.42699238
0.00088418478,0.27321006,0.14319709,0.42169891,135.78721,0.43006976
0.00091006908,0.27575434,0.14738915,0.4251083,139.76235,0.43316437
0.00093671115,0.2783206,0.15170393,0.42853608,143.85386,0.43627622
0.00096413316,0.28090901,0.15614503,0.43198215,148.06515,0.43940528
0.00099235793,0.28351968,0.16071614,0.4354464,152.39972,0.44255157
0.001021409,0.28615277,0.16542107,0.43892873,156.86119,0.44571509
0.0010513105,0.28880842,0.17026373,0.44242902,161.45327,0.44889582
0.0010820874,0.29148677,0.17524817,0.44594715,166.17977,0.45209375
0.0011137652,0.29418797,0.18037852,0.44948301,171.04465,0.45530887
0.0011463705,0.29691216,0.18565906,0.45303646,176.05194,0.45854114
0.0011799302,0.29965946,0.19109418,0.45660737,181.20582,0.46179056
0.0012144724,0.30243002,0.19668842,0.46019561,186.51058,0.46505709
0.0012500258,0.30522398,0.20244643,0.46380105,191.97064,0.46834073
0.00128662,0.30804148,0.208373,0.46742354,197.59053,0.47164142
0.0013242855,0.31088265,0.21447307,0.47106291,203.37495,0.47495915
0.0013630537,0.31374763,0.22075173,0.47471902,209.32871,0.47829386
0.0014029568,0.31663654,0.22721418,0.47839172,215.45676,0.48164551
0.001444028,0.31954953,0.23386583,0.48208084,221.7642,0.48501409
0.0014863016,0.32248672,0.24071219,0.4857862,228.2563,0.48839953
0.0015298127,0.32544824,0.24775899,0.48950764,234.93845,0.49180177
0.0015745977,0.32843422,0.25501208,0.49324496,241.81622,0.49522078
0.0016206936,0.33144479,0.2624775,0.49699799,248.89534,0.4986565
0.0016681391,0.33448006,0.27016147,0.50076652,256.18169,0.50210888
0.0017169735,0.33754018,0.27807038,0.50455036,263.68135,0.50557782
0.0017672375,0.34062525,0.28621083,0.50834932,271.40056,0.50906323
0.001818973,0.34373539,0.29458959,0.51216322,279.34575,0.51256505
0.001872223,0.34687072,0.30321363,0.51599182,287.52354,0.51608323
0.0019270319,0.35003137,0.31209014,0.51983493,295.94072,0.51961768
0.0019834453,0.35321742,0.32122651,0.52369232,304.60432,0.52316831
0.0020415102,0.35642902,0.33063034,0.52756375,313.52154,0.52673504
0.0021012749,0.35966626,0.34030947,0.53144897,322.69981,0.53031776
0.0021627893,0.36292924,0.35027195,0.53534777,332.14678,0.53391637
0.0022261045,0.36621807,0.36052608,0.53925991,341.8703,0.53753078
0.0022912732,0.36953285,0.3710804,0.54318518,351.87847,0.54116086
0.0023583497,0.37287367,0.38194369,0.5471233,362.17964,0.54480652
0.0024273898,0.37624063,0.39312501,0.55107401,372.78236,0.5484676
0.0024984511,0.37963379,0.40463365,0.55503703,383.69548,0.55214398
0.0025715927,0.38305325,0.41647921,0.55901214,394.92808,0.55583554
0.0026468755,0.38649912,0.42867155,0.56299904,406.48951,0.55954216
0.0027243621,0.38997146,0.44122081,0.56699748,418.3894,0.56326368
0.0028041172,0.39347036,0.45413745,0.57100714,430.63765,0.56699997
0.0028862071,0.39699589,0.46743222,0.57502777,443.24447,0.57075089
0.0029707002,0.40054813,0.48111619,0.57905909,456.22035,0.57451627
0.0030576668,0.40412714,0.49520076,0.58310083,469.5761,0.57829594
0.0031471792,0.40773298,0.50969765,0.58715267,483.32283,0.58208974
0.0032393122,0.41136571,0.52461893,0.59121431,497.472,0.58589752
0.0033341423,0.41502539,0.53997703,0.59528546,512.03538,0.5897191
0.0034317486,0.41871206,0.55578473,0.59936579,527.02509,0.59355428
0.0035322122,0.42242578,0.5720552,0.60345501,542.45363,0.59740287
0.003635617,0.42616657,0.58880199,0.60755278,558.33384,0.60126465
0.0037420488,0.42993448,0.60603904,0.61165879,574.67894,0.60513946
0.0038515964,0.43372952,0.62378069,0.6157727,591.50253,0.60902705
0.0039643511,0.43755172,0.64204173,0.61989422,608.81863,0.61292724
0.0040804065,0.44140111,0.66083735,0.62402299,626.64166,0.61683976
0.0041998595,0.44527769,0.68018322,0.62815865,644.98645,0.62076439
0.0043228094,0.44918146,0.70009543,0.63230088,663.86828,0.6247009
0.0044493587,0.45311243,0.72059056,0.63644935,683.30288,0.62864903
0.0045796127,0.45707059,0.74168568,0.6406037,703.30641,0.63260855
0.0047136798,0.46105591,0.76339836,0.64476356,723.89555,0.6365792
0.0048516717,0.46506839,0.78574668,0.64892859,745.08743,0.64056068
0.0049937033,0.46910799,0.80874923,0.65309839,766.89969,0.64455273
0.0051398928,0.47317466,0.83242518,0.65727261,789.35051,0.64855506
0.005290362,0.47726838,0.85679424,0.66145086,812.45856,0.6525674
0.0054452361,0.48138909,0.8818767,0.66563278,836.2431,0.65658941
0.0056046442,0.48553673,0.90769344,0.66981799,860.72393,0.66062073
0.0057687189,0.48971122,0.93426595,0.67400611,885.92143,0.66466107
0.0059375968,0.49391249,0.96161638,0.67819676,911.85657,0.6687101
0.0061114186,0.49814045,0.98976748,0.68238953,938.55097,0.67276751
0.006290329,0.502395,1.0187427,0.68658402,966.02683,0.67683293
0.0064744769,0.50667605,1.0485662,0.69077981,994.30705,0.680906
