theta_deg,dW_LT,dW_WNL,dW_UR,dW_H0,dW_H1,dW_H2,dW_H3.5,dW_H5,dW_s0.3,dW_s0.5,dW_s0.7,dW_s1.0,dW_s1.4,dW_s2.0
0.050118723,0.99331691,0.0021018594,4.4587901e-08,0.0021018594,1.1262906e-11,0.0021025452,0.079994991,0.30454584,0.0018575732,0.0020475274,0.0020825349,0.0021018594,0.0021116495,0.0021169406
0.050947725,0.99331691,0.0021018625,4.4594468e-08,0.0021018625,1.1325827e-11,0.0021025483,0.079995008,0.30454586,0.001857576,0.0020475304,0.002082538,0.0021018625,0.0021116526,0.0021169437
0.051790439,0.99331691,0.0021018657,4.4601255e-08,0.0021018657,1.1391201e-11,0.0021025514,0.079995027,0.30454589,0.0018575789,0.0020475335,0.0020825411,0.0021018657,0.0021116558,0.0021169469
0.052647092,0.99331691,0.0021018689,4.460827e-08,0.0021018689,1.1459138e-11,0.0021025547,0.079995046,0.30454591,0.0018575819,0.0020475367,0.0020825443,0.0021018689,0.0021116591,0.0021169502
0.053517914,0.99331692,0.0021018723,4.461552e-08,0.0021018723,1.152975e-11,0.002102558,0.079995065,0.30454594,0.0018575849,0.00204754,0.0020825477,0.0021018723,0.0021116625,0.0021169536
0.054403141,0.99331692,0.0021018758,4.4623012e-08,0.0021018758,1.1603158e-11,0.0021025615,0.079995086,0.30454596,0.0018575881,0.0020475434,0.0020825511,0.0021018758,0.002111666,0.0021169571
0.05530301,0.99331692,0.0021018795,4.4630756e-08,0.0021018795,1.1679489e-11,0.0021025651,0.079995106,0.30454599,0.0018575914,0.002047547,0.0020825547,0.0021018795,0.0021116696,0.0021169607
0.056217763,0.99331693,0.0021018832,4.463876e-08,0.0021018832,1.1758874e-11,0.0021025688,0.079995128,0.30454602,0.0018575948,0.0020475506,0.0020825584,0.0021018832,0.0021116734,0.0021169645
0.057147647,0.99331693,0.0021018871,4.4647033e-08,0.0021018871,1.1841454e-11,0.0021025726,0.07999515,0.30454605,0.0018575983,0.0020475544,0.0020825622,0.0021018871,0.0021116773,0.0021169684
0.058092913,0.99331693,0.0021018911,4.4655582e-08,0.0021018911,1.1927377e-11,0.0021025766,0.079995174,0.30454608,0.0018576019,0.0020475583,0.0020825662,0.0021018911,0.0021116813,0.0021169724
0.059053813,0.99331694,0.0021018952,4.4664419e-08,0.0021018952,1.20168e-11,0.0021025807,0.079995197,0.30454612,0.0018576057,0.0020475623,0.0020825703,0.0021018952,0.0021116854,0.0021169765
0.060030608,0.99331694,0.0021018995,4.4673552e-08,0.0021018995,1.2109887e-11,0.0021025849,0.079995222,0.30454615,0.0018576096,0.0020475665,0.0020825745,0.0021018995,0.0021116897,0.0021169808
0.061023559,0.99331694,0.0021019039,4.4682992e-08,0.0021019039,1.2206812e-11,0.0021025893,0.079995247,0.30454618,0.0018576136,0.0020475708,0.0020825788,0.0021019039,0.0021116941,0.0021169852
0.062032935,0.99331695,0.0021019085,4.4692749e-08,0.0021019085,1.230776e-11,0.0021025938,0.079995274,0.30454622,0.0018576177,0.0020475753,0.0020825833,0.0021019085,0.0021116987,0.0021169898
0.063059007,0.99331695,0.0021019132,4.4702834e-08,0.0021019132,1.2412925e-11,0.0021025985,0.079995301,0.30454626,0.001857622,0.0020475799,0.002082588,0.0021019132,0.0021117034,0.0021169945
0.06410205,0.99331695,0.0021019181,4.4713257e-08,0.0021019181,1.2522515e-11,0.0021026033,0.079995329,0.30454629,0.0018576264,0.0020475846,0.0020825928,0.0021019181,0.0021117083,0.0021169994
0.065162346,0.99331696,0.0021019231,4.472403e-08,0.0021019231,1.2636748e-11,0.0021026083,0.079995358,0.30454633,0.001857631,0.0020475895,0.0020825978,0.0021019231,0.0021117134,0.0021170045
0.066240181,0.99331696,0.0021019283,4.4735166e-08,0.0021019283,1.2755855e-11,0.0021026135,0.079995388,0.30454637,0.0018576357,0.0020475946,0.0020826029,0.0021019283,0.0021117186,0.0021170097
0.067335843,0.99331697,0.0021019337,4.4746676e-08,0.0021019337,1.2880083e-11,0.0021026188,0.079995419,0.30454642,0.0018576406,0.0020475998,0.0020826082,0.0021019337,0.002111724,0.0021170151
0.068449629,0.99331697,0.0021019392,4.4758573e-08,0.0021019392,1.3009693e-11,0.0021026243,0.079995451,0.30454646,0.0018576456,0.0020476053,0.0020826137,0.0021019392,0.0021117295,0.0021170207
0.069581837,0.99331697,0.002101945,4.477087e-08,0.002101945,1.3144962e-11,0.00210263,0.079995484,0.3045465,0.0018576509,0.0020476109,0.0020826194,0.002101945,0.0021117353,0.0021170264
0.070732773,0.99331698,0.0021019509,4.4783581e-08,0.0021019509,1.3286186e-11,0.0021026359,0.079995519,0.30454655,0.0018576563,0.0020476167,0.0020826252,0.0021019509,0.0021117412,0.0021170324
0.071902747,0.99331698,0.002101957,4.479672e-08,0.002101957,1.3433677e-11,0.0021026419,0.079995554,0.3045466,0.0018576618,0.0020476227,0.0020826313,0.002101957,0.0021117474,0.0021170385
0.073092072,0.99331699,0.0021019634,4.4810301e-08,0.0021019634,1.3587771e-11,0.0021026482,0.079995591,0.30454665,0.0018576676,0.0020476288,0.0020826375,0.0021019634,0.0021117537,0.0021170449
0.07430107,0.99331699,0.0021019699,4.482434e-08,0.0021019699,1.3748823e-11,0.0021026547,0.079995628,0.3045467,0.0018576735,0.0020476352,0.002082644,0.0021019699,0.0021117603,0.0021170514
0.075530066,0.993317,0.0021019767,4.4838851e-08,0.0021019767,1.3917213e-11,0.0021026614,0.079995667,0.30454675,0.0018576797,0.0020476418,0.0020826507,0.0021019767,0.002111767,0.0021170582
0.07677939,0.993317,0.0021019837,4.4853852e-08,0.0021019837,1.4093346e-11,0.0021026683,0.079995708,0.30454681,0.001857686,0.0020476487,0.0020826576,0.0021019837,0.002111774,0.0021170652
0.078049379,0.99331701,0.0021019909,4.4869358e-08,0.0021019909,1.4277655e-11,0.0021026755,0.079995749,0.30454686,0.0018576926,0.0020476557,0.0020826647,0.0021019909,0.0021117813,0.0021170724
0.079340375,0.99331702,0.0021019983,4.4885387e-08,0.0021019983,1.4470604e-11,0.0021026829,0.079995792,0.30454692,0.0018576994,0.002047663,0.0020826721,0.0021019983,0.0021117887,0.0021170799
